ContactId,DateOfBirth,Gender,City,State,CreatedOn,Loyalty Tier,Email Subscriber,Income,Occupation,CustomerSatisfaction,RewardPoints,CreditCard,CreatedOn_loyalty,PurchaseId,ProductId,PurchasedOn,TotalPrice,ReviewRating
CNTID_1000,1986-05-08,Female,Fairfield,California,2017-03-14,high,Yes,256414.1127086401,Software Engineer,high,293,Yes,2018-10-19,OPID_1000,ProdID_1007,2019-01-20,2516,4.8
CNTID_1000,1986-05-08,Female,Fairfield,California,2017-03-14,high,Yes,256414.1127086401,Software Engineer,high,293,Yes,2018-10-19,OPID_1001,ProdID_1032,2018-11-04,2597,4.8
CNTID_1000,1986-05-08,Female,Fairfield,California,2017-03-14,high,Yes,256414.1127086401,Software Engineer,high,293,Yes,2018-10-19,OPID_1002,ProdID_1012,2018-10-10,2589,4.8
CNTID_1000,1986-05-08,Female,Fairfield,California,2017-03-14,high,Yes,256414.1127086401,Software Engineer,high,293,Yes,2018-10-19,OPID_1003,ProdID_1038,2018-03-07,144,4.8
CNTID_1003,2006-09-03,Male,Nashville,Tennessee,2019-01-17,medium,No,61917.70614395272,Teacher,medium,116,No,2017-07-03,OPID_1005,ProdID_1047,2017-08-09,47,5.0
CNTID_1004,1997-07-30,Male,West Covina,California,2019-01-20,medium,No,20000.0,Teacher,medium,249,No,2017-10-13,OPID_1006,ProdID_1004,2018-07-22,209,3.3333333333333335
CNTID_1006,2016-09-20,Male,Surprise,Arizona,2019-01-31,medium,No,49263.04895479728,Software Engineer,low,155,Yes,2018-10-24,OPID_1009,ProdID_1000,2018-10-25,66,2.5
CNTID_1006,2016-09-20,Male,Surprise,Arizona,2019-01-31,medium,No,49263.04895479728,Software Engineer,low,155,Yes,2018-10-24,OPID_1010,ProdID_1032,2019-01-13,245,2.5
CNTID_1008,1998-01-03,Male,Stockton,California,2019-01-31,medium,No,23242.992770403755,Teacher,medium,264,No,2017-02-04,OPID_1011,ProdID_1014,2018-11-04,59,2.75
CNTID_1008,1998-01-03,Male,Stockton,California,2019-01-31,medium,No,23242.992770403755,Teacher,medium,264,No,2017-02-04,OPID_1012,ProdID_1021,2019-01-12,247,2.75
CNTID_1008,1998-01-03,Male,Stockton,California,2019-01-31,medium,No,23242.992770403755,Teacher,medium,264,No,2017-02-04,OPID_1013,ProdID_1046,2019-01-22,82,2.75
CNTID_1009,1984-06-09,Male,Minneapolis,Minnesota,2019-01-31,medium,No,42136.51384363777,Software Engineer,high,251,No,2017-06-17,OPID_1014,ProdID_1031,2017-03-31,204,3.8
CNTID_1009,1984-06-09,Male,Minneapolis,Minnesota,2019-01-31,medium,No,42136.51384363777,Software Engineer,high,251,No,2017-06-17,OPID_1015,ProdID_1033,2018-06-13,88,3.8
CNTID_1009,1984-06-09,Male,Minneapolis,Minnesota,2019-01-31,medium,No,42136.51384363777,Software Engineer,high,251,No,2017-06-17,OPID_1016,ProdID_1016,2018-07-26,54,3.8
CNTID_1009,1984-06-09,Male,Minneapolis,Minnesota,2019-01-31,medium,No,42136.51384363777,Software Engineer,high,251,No,2017-06-17,OPID_1017,ProdID_1041,2018-11-28,159,3.8
CNTID_1009,1984-06-09,Male,Minneapolis,Minnesota,2019-01-31,medium,No,42136.51384363777,Software Engineer,high,251,No,2017-06-17,OPID_1018,ProdID_1044,2018-12-17,83,3.8
CNTID_1010,1972-09-07,Male,Daly City,California,2019-01-31,medium,Yes,84403.5393089297,Teacher,medium,138,Yes,2018-04-01,OPID_1019,ProdID_1010,2017-12-17,224,2.5
CNTID_1010,1972-09-07,Male,Daly City,California,2019-01-31,medium,Yes,84403.5393089297,Teacher,medium,138,Yes,2018-04-01,OPID_1020,ProdID_1025,2018-08-13,213,2.5
CNTID_1011,2001-06-26,Male,Visalia,California,2019-01-31,medium,No,20000.0,Teacher,low,182,Yes,2017-11-20,OPID_1021,ProdID_1047,2018-07-29,92,2.6666666666666665
CNTID_1012,1982-05-22,Male,Pearland,Texas,2019-01-31,medium,No,20000.0,Software Engineer,low,121,No,2018-08-06,OPID_1022,ProdID_1034,2017-06-14,246,3.3333333333333335
CNTID_1014,1978-10-06,Male,Kent,Washington,2019-01-31,low,Yes,314676.9552709304,Doctor,medium,273,No,2017-11-24,OPID_1023,ProdID_1042,2018-03-09,101,4.0
CNTID_1014,1978-10-06,Male,Kent,Washington,2019-01-31,low,Yes,314676.9552709304,Doctor,medium,273,No,2017-11-24,OPID_1024,ProdID_1013,2018-07-11,2461,4.0
CNTID_1014,1978-10-06,Male,Kent,Washington,2019-01-31,low,Yes,314676.9552709304,Doctor,medium,273,No,2017-11-24,OPID_1025,ProdID_1000,2018-09-16,2534,4.0
CNTID_1014,1978-10-06,Male,Kent,Washington,2019-01-31,low,Yes,314676.9552709304,Doctor,medium,273,No,2017-11-24,OPID_1026,ProdID_1018,2018-10-15,2487,4.0
CNTID_1014,1978-10-06,Male,Kent,Washington,2019-01-31,low,Yes,314676.9552709304,Doctor,medium,273,No,2017-11-24,OPID_1027,ProdID_1012,2018-12-11,2504,4.0
CNTID_1015,1982-10-03,Male,Fremont,California,2019-01-31,medium,No,98571.60919668624,Teacher,medium,40,No,2017-03-11,OPID_1028,ProdID_1004,2017-01-20,186,2.8
CNTID_1015,1982-10-03,Male,Fremont,California,2019-01-31,medium,No,98571.60919668624,Teacher,medium,40,No,2017-03-11,OPID_1029,ProdID_1001,2018-11-27,80,2.8
